feature,Mon_mean,Tre_mean,Q,rank
ch3_rms,0.0663,0.7559,0.4111,1
ch4_rms,0.0628,0.6522,0.3575,2
ch3_FTF_nfe,0.0463,0.6117,0.329,3
ch4_FTF_nfe,0.0541,0.5621,0.3081,4
ch1_rms,0.1411,0.4479,0.2945,5
ch4_BPFO_nfe,0.0554,0.4438,0.2496,6
ch2_rms,0.0414,0.449,0.2452,7
ch3_BPFO_nfe,0.0943,0.3831,0.2387,8
ch2_BPFO_nfe,0.1395,0.3372,0.2383,9
ch3_kurtosis,0.052,0.4133,0.2327,10
ch2_FTF_nfe,0.0565,0.3485,0.2025,11
ch4_kurtosis,0.1341,0.27,0.202,12
ch3_BSF_nfe,0.0489,0.3379,0.1934,13
ch1_BSF_nfe,0.0585,0.3278,0.1931,14
ch1_kurtosis,0.1251,0.259,0.192,15
ch1_BPFO_nfe,0.0781,0.279,0.1786,16
ch1_FTF_nfe,0.0575,0.2946,0.1761,17
ch2_kurtosis,0.0673,0.2712,0.1692,18
ch4_BPFI_nfe,0.1275,0.2095,0.1685,19
ch3_BPFI_nfe,0.111,0.1976,0.1543,20
ch2_BPFI_nfe,0.0817,0.2252,0.1534,21
ch1_BPFI_nfe,0.0811,0.2062,0.1437,22
ch4_BSF_nfe,0.0799,0.1873,0.1336,23
ch2_BSF_nfe,0.0313,0.1717,0.1015,24
